frequency_tier,customer_count,pct_of_customers,total_revenue,pct_of_revenue,avg_total_spend_per_customer
1 order,93099,96.88124375624376,15064849.409999145,94.10312792229377,161.81537299003367
2 orders,2745,2.8565184815184814,809355.3900000008,5.055667781797785,294.84713661202215
3+ orders,252,0.26223776223776224,134667.3200000001,0.841204295908936,534.3941269841274
