is_installment,order_count,stddev_order_value,variance_order_value,min_order_value,p25_order_value,p50_median_order_value,p75_order_value,p90_order_value,p95_order_value,p99_order_value,max_order_value,skewness,kurtosis
Y,51170,247.19296031080071,61104.35962721709,20.03,80.55,134.9,215.6,373.883,580.44,1293.5768999999977,6929.31,5.8064197619922515,59.358494340155524
N,48270,183.31865380723326,33605.72883369624,0.0,49.36,79.51,135.0,218.96099999999998,318.97,788.23,13664.08,17.829887135789367,827.3565688439309
